Nom,Description,Langage,URL
Automation,Collection of programs from Automate the Boring stuff with python,Jupyter Notebook,https://github.com/Punkyherisson/Automation
bookbot,,Python,https://github.com/Punkyherisson/bookbot
BookbotDocker,,Python,https://github.com/Punkyherisson/BookbotDocker
BootdevAsteroid,,Python,https://github.com/Punkyherisson/BootdevAsteroid
BootdevGoServer,,Go,https://github.com/Punkyherisson/BootdevGoServer
BootDevMazeSolver,BootDevMaze Python Project,Python,https://github.com/Punkyherisson/BootDevMazeSolver
BootdevStaticSiteGenerator,,Python,https://github.com/Punkyherisson/BootdevStaticSiteGenerator
BoulangerieChatGPT,Simulation Boulangerie en Python en utilisant Chat GPT,Python,https://github.com/Punkyherisson/BoulangerieChatGPT
Calcul_IRPP2025,Calcul de l'impot sur le revenu 2025 en Python,Python,https://github.com/Punkyherisson/Calcul_IRPP2025
DonjonCollab,Donjon NoteBook Collab,Jupyter Notebook,https://github.com/Punkyherisson/DonjonCollab
GarminConnect,Test pour lire les donnés de ma fenix,Python,https://github.com/Punkyherisson/GarminConnect
JavascriptDOM,,,https://github.com/Punkyherisson/JavascriptDOM
JeuDeLangues,,Python,https://github.com/Punkyherisson/JeuDeLangues
JeuGrammaireEspagnole,Jeu de Grammaire Espagnole en Python,Jupyter Notebook,https://github.com/Punkyherisson/JeuGrammaireEspagnole
LaFormePasLesFormes,Application Python dietetique et sport,Python,https://github.com/Punkyherisson/LaFormePasLesFormes
learn-cicd-starter,"The starter code for the ""Learn CICD"" course on Boot.dev",Go,https://github.com/Punkyherisson/learn-cicd-starter
LearnDockerHub,,Go,https://github.com/Punkyherisson/LearnDockerHub
LearnGitGithub,Approfondir Git et Githubs,,https://github.com/Punkyherisson/LearnGitGithub
LearningAI,"A collection of using different AIs, mostly with free accounts",,https://github.com/Punkyherisson/LearningAI
LearnReplit,Collection Of sources to learn Replit,,https://github.com/Punkyherisson/LearnReplit
MaBoulangerie,Jeu de gestion de Boulangerie,Python,https://github.com/Punkyherisson/MaBoulangerie
MammothPython,Store and view exercices on Mammoth Training,Jupyter Notebook,https://github.com/Punkyherisson/MammothPython
MaTodolist,Simple DailyTo do list with Log in a textfile ,Python,https://github.com/Punkyherisson/MaTodolist
megacorp,The starter repo for the Git 2 course on Boot.dev,Shell,https://github.com/Punkyherisson/megacorp
numpy-100,100 numpy exercises (with solutions),,https://github.com/Punkyherisson/numpy-100
PerplexityUsecases,Using Perplexity effectively,,https://github.com/Punkyherisson/PerplexityUsecases
PowershellTuto,Project to understand Posershell scripts and usage,,https://github.com/Punkyherisson/PowershellTuto
Prompt-Engineering-Guide,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",,https://github.com/Punkyherisson/Prompt-Engineering-Guide
PromptDungeon,,Python,https://github.com/Punkyherisson/PromptDungeon
Punkybot,Discord BOT,Python,https://github.com/Punkyherisson/Punkybot
